Transaction_ID,Customer_ID,Order_Date,Delivery_Date,Customer_Name,Email,Shipping_Address,Product_Category,SKU,Quantity,Unit_Price,Total_Amount,Payment_Method,Discount_Applied,Order_Status
31996952-b8f7-49a3-94ac-b6ff696ac9d7,CUST-233914,2025-09-02 19:18:41,,Frank Long,melissaoneill@example.net,"PSC 1268, Box 7053, APO AE 92816",Books,SKU-RWS-0118,2,437.85,875.7,Credit Card,True,Processing
8afbb206-fdd2-48fe-bbb3-081fab2899c7,CUST-746659,2025-05-12 11:05:57,2025-05-18 11:05:57,Amy Campos,meaganmcbride@example.com,"56696 Mark Gateway, Codyfurt, MA 84701",Beauty,SKU-LRE-6363,6,382.22,2293.32,Apple Pay,False,Shipped
76a83e4e-1d72-4443-8abc-a98adb3a673e,CUST-417093,2025-08-10 21:36:09,,Justin Thomas,emily35@example.org,"504 Stephanie Roads, East Johnland, IL 70592",Toys,SKU-ZUV-2330,8,144.87,1158.96,Google Pay,False,Processing
12630304-2aa4-454f-9190-9b291dc51ddb,CUST-529241,2025-03-11 06:45:06,,Mary Gill,jaime74@example.net,"Unit 2054 Box 5983, DPO AA 68622",Sports,SKU-LLI-6003,5,90.96,454.8,PayPal,False,Pending
1f7f4854-0c8c-4e31-bf0e-8c2cee6c9b3c,CUST-800215,2026-02-09 12:40:31,,Bryan White,johnlam@example.net,"989 Price Plains Suite 564, Rebeccaside, KS 84922",Beauty,SKU-SPK-0011,5,84.49,422.45,Credit Card,True,Pending
7e5fc9cf-bb8b-4ee7-b7b2-5a99a6441a3a,CUST-679671,2025-07-26 22:41:47,2025-08-01 22:41:47,Leslie Fry,suarezcraig@example.com,"75982 Hill Inlet Apt. 298, South Isaacborough, VI 98648",Sports,SKU-AAL-6039,10,220.07,2200.7,Google Pay,False,Delivered
3615b5f9-84ea-4b3f-be0c-4162e41e84aa,CUST-311207,2025-10-04 12:41:32,,Mary Collins MD,sonialeonard@example.org,"43248 April Ford, Abbottview, MP 55110",Electronics,SKU-ZMG-2891,6,103.13,618.78,Debit Card,False,Cancelled
78b0c980-b785-49f3-b0de-6b1f7634ce87,CUST-129269,2025-08-28 07:34:54,,Tina Wright,fcampos@example.org,"3956 Oconnor Mission Apt. 259, Melanieshire, MH 46787",Sports,SKU-YKJ-9954,3,252.66,757.98,Google Pay,False,Cancelled
953fc793-98c0-4937-87e6-8eb06f82cfb9,CUST-418187,2026-02-15 06:11:51,2026-02-19 06:11:51,Brenda Young,crystal87@example.net,"359 Anthony Loaf, Lake Amandaview, SC 43284",Sports,SKU-KNM-1225,4,242.26,969.04,Credit Card,False,Shipped
772b9699-b0ee-4728-b1d2-64ddb5017015,CUST-668862,2026-01-27 18:01:24,2026-02-09 18:01:24,Lacey Alexander,psanchez@example.net,"65680 Hoffman Meadow Suite 435, New Jeffery, AZ 42798",Toys,SKU-GQW-0502,10,201.14,2011.4,Google Pay,False,Delivered
79b1cae1-9a67-454e-802d-321af3f921c3,CUST-170694,2025-10-19 07:07:09,2025-10-21 07:07:09,Gina Duncan,fhernandez@example.net,"79905 Jennifer Green, Hillland, MN 37968",Apparel,SKU-NTB-7722,8,455.14,3641.12,Debit Card,False,Shipped
633c0b64-75ae-44b4-8509-3f5d28dc855c,CUST-575776,2026-02-25 08:10:12,,David Holland,bryansmith@example.com,"242 Raymond Plaza, Jordanfort, CT 78956",Sports,SKU-ADG-4079,10,349.85,3498.5,PayPal,False,Pending
6df90311-ec13-493b-ba2f-495b5aeb9a86,CUST-722161,2025-04-08 16:15:28,2025-04-22 16:15:28,Kayla Ferguson,robertparker@example.com,"PSC 5739, Box 4947, APO AA 83462",Apparel,SKU-SMI-1725,1,395.11,395.11,Credit Card,False,Delivered
bdb112ea-0b05-4670-b15e-01c45d3a0f32,CUST-648089,2025-05-15 16:51:25,,Richard Nguyen MD,nicolebarber@example.com,"212 James Spurs Apt. 404, New Matthewfort, SD 80689",Toys,SKU-GFQ-8588,2,312.02,624.04,Credit Card,False,Processing
24e63d5a-9b33-4606-91c5-300f6df62ef4,CUST-926235,2025-11-03 10:07:44,2025-11-16 10:07:44,Johnathan Smith,xholden@example.com,"383 Rita Locks, Haydenhaven, ID 25132",Beauty,SKU-BDY-2268,3,470.41,1411.23,Google Pay,False,Shipped
